iter	Passed	Remaining
395	1238	1888
396	1241	1886
397	1245	1883
398	1248	1880
399	1251	1877
400	1254	1874
401	1258	1871
402	1261	1868
403	1264	1865
404	1267	1862
405	1271	1859
406	1274	1857
407	1277	1854
408	1281	1851
409	1284	1847
410	1287	1845
411	1290	1842
412	1294	1839
413	1297	1836
414	1300	1833
415	1303	1830
416	1307	1827
417	1310	1824
418	1313	1821
419	1316	1818
420	1320	1815
421	1323	1812
422	1326	1809
423	1329	1806
424	1332	1803
425	1336	1800
426	1339	1797
427	1343	1794
428	1346	1791
429	1349	1788
430	1352	1785
431	1355	1782
432	1359	1779
433	1362	1776
434	1365	1773
435	1368	1770
436	1371	1767
437	1375	1764
438	1378	1761
439	1381	1758
440	1385	1755
441	1388	1752
442	1391	1749
443	1394	1746
444	1397	1743
445	1400	1740
446	1404	1736
447	1407	1733
448	1410	1730
449	1413	1727
450	1416	1724
451	1420	1722
452	1423	1718
453	1426	1715
454	1429	1712
455	1433	1709
456	1436	1706
457	1439	1703
458	1443	1700
459	1446	1697
460	1449	1694
461	1452	1691
462	1455	1688
463	1459	1685
464	1462	1682
465	1465	1679
466	1468	1676
467	1472	1673
468	1475	1670
469	1478	1666
470	1481	1663
471	1484	1660
472	1487	1657
473	1491	1654
474	1494	1652
475	1498	1649
476	1501	1646
477	1504	1643
478	1507	1640
479	1510	1636
480	1514	1633
481	1517	1630
482	1520	1627
483	1523	1624
484	1526	1621
485	1530	1618
486	1533	1615
487	1536	1612
488	1539	1608
489	1542	1605
490	1545	1602
491	1548	1599
492	1552	1596
493	1555	1593
494	1558	1590
495	1561	1586
496	1564	1583
497	1568	1581
498	1571	1578
499	1575	1575
500	1578	1572
501	1581	1569
502	1585	1566
503	1589	1564
504	1592	1561
505	1595	1557
506	1598	1554
507	1602	1551
508	1605	1548
509	1608	1545
510	1611	1542
511	1614	1539
512	1618	1536
513	1621	1533
514	1624	1529
515	1627	1526
516	1631	1524
517	1635	1521
518	1638	1518
519	1641	1515
520	1644	1512
521	1648	1509
522	1651	1506
523	1654	1503
524	1658	1500
525	1661	1497
526	1664	1494
527	1667	1490
528	1671	1487
529	1674	1484
530	1677	1481
531	1680	1478
532	1684	1475
533	1687	1472
534	1690	1469
535	1693	1466
536	1696	1463
537	1700	1459
538	1703	1456
539	1706	1453
540	1710	1450
541	1713	1447
542	1716	1444
543	1719	1441
544	1722	1438
545	1725	1435
546	1729	1432
547	1732	1428
548	1735	1425
549	1739	1422
550	1742	1419
551	1745	1416
552	1749	1413
553	1752	1410
554	1755	1407
555	1759	1404
556	1762	1401
557	1765	1398
558	1768	1395
559	1772	1392
560	1775	1389
561	1778	1386
562	1781	1383
563	1784	1379
564	1788	1376
565	1791	1373
566	1794	1370
567	1797	1367
568	1800	1364
569	1804	1360
570	1807	1357
571	1810	1354
572	1813	1351
573	1816	1348
574	1820	1345
575	1823	1342
576	1826	1339
577	1829	1336
578	1833	1332
579	1836	1329
580	1839	1326
581	1842	1323
582	1846	1320
583	1849	1317
584	1853	1314
585	1857	1312
586	1860	1309
587	1864	1306
588	1867	1303
589	1871	1300
590	1874	1297
591	1877	1294
592	1881	1291
593	1884	1288
594	1887	1285
595	1891	1281
596	1894	1278
597	1897	1275
598	1900	1272
599	1904	1269
600	1907	1266
601	1910	1263
602	1913	1260
603	1916	1256
604	1919	1253
605	1923	1250
606	1926	1247
607	1929	1244
608	1933	1241
609	1936	1238
610	1940	1235
611	1944	1232
612	1947	1229
613	1950	1226
614	1954	1223
615	1957	1220
616	1961	1217
617	1964	1214
618	1967	1210
619	1970	1207
620	1974	1204
621	1977	1201
622	1980	1198
623	1983	1195
624	1986	1192
625	1990	1189
626	1993	1186
627	1996	1182
628	2000	1179
629	2003	1176
630	2006	1173
631	2009	1170
632	2012	1166
633	2016	1163
634	2019	1160
635	2022	1157
636	2025	1154
637	2028	1151
638	2032	1148
639	2035	1144
640	2038	1141
641	2041	1138
642	2045	1135
643	2048	1132
644	2052	1129
645	2055	1126
646	2058	1123
647	2061	1119
648	2065	1116
649	2068	1113
650	2071	1110
651	2074	1107
652	2078	1104
653	2081	1101
654	2085	1098
655	2088	1095
656	2092	1092
657	2095	1088
658	2098	1085
659	2101	1082
660	2104	1079
661	2107	1076
662	2111	1073
663	2114	1069
664	2117	1066
665	2121	1063
666	2124	1060
667	2127	1057
668	2131	1054
669	2134	1051
670	2138	1048
671	2141	1045
672	2144	1042
673	2147	1038
674	2151	1035
675	2154	1032
676	2158	1029
677	2161	1026
678	2165	1023
679	2168	1020
680	2171	1017
681	2174	1014
682	2178	1010
683	2181	1007
684	2184	1004
685	2188	1001
686	2191	998
687	2194	995
688	2197	991
689	2200	988
690	2204	985
691	2207	982
692	2210	979
693	2213	976
694	2217	972
695	2220	969
696	2223	966
697	2226	963
698	2229	960
699	2233	957
700	2236	953
701	2239	950
702	2243	947
703	2246	944
704	2249	941
705	2252	938
706	2256	934
707	2259	931
708	2262	928
709	2265	925
710	2269	922
711	2272	919
712	2276	916
713	2279	913
714	2283	910
715	2286	906
716	2289	903
717	2293	900
718	2296	897
719	2299	894
720	2303	891
721	2306	888
722	2309	884
723	2312	881
724	2316	878
725	2319	875
726	2322	872
727	2325	868
728	2328	865
729	2332	862
730	2335	859
731	2338	856
732	2341	852
733	2344	849
734	2347	846
735	2351	843
736	2354	840
737	2357	837
738	2361	833
739	2364	830
740	2367	827
741	2370	824
742	2374	821
743	2377	818
744	2380	814
745	2384	811
746	2387	808
747	2390	805
748	2394	802
749	2397	799
750	2400	795
751	2403	792
752	2407	789
753	2410	786
754	2413	783
755	2417	780
756	2420	776
757	2423	773
758	2426	770
759	2430	767
760	2433	764
761	2437	761
762	2440	758
763	2444	754
764	2447	751
765	2450	748
766	2453	745
767	2456	742
768	2460	739
769	2463	735
770	2466	732
771	2469	729
772	2473	726
773	2476	723
774	2479	719
775	2482	716
776	2485	713
777	2489	710
778	2492	707
779	2495	703
780	2498	700
781	2501	697
782	2504	694
783	2507	690
784	2511	687
785	2514	684
786	2517	681
787	2520	678
788	2523	674
789	2527	671
790	2530	668
791	2533	665
792	2536	662
793	2540	659
794	2543	655
795	2546	652
796	2549	649
797	2552	646
798	2556	643
799	2560	640
800	2563	636
801	2566	633
802	2570	630
803	2573	627
804	2576	624
805	2580	621
806	2583	617
807	2586	614
808	2589	611
809	2593	608
810	2596	605
811	2599	601
812	2602	598
813	2605	595
814	2608	592
815	2612	589
816	2615	585
817	2618	582
818	2621	579
819	2624	576
820	2627	572
821	2631	569
822	2634	566
823	2637	563
824	2640	560
825	2643	556
826	2646	553
827	2650	550
828	2653	547
829	2656	544
830	2660	540
831	2663	537
832	2666	534
833	2670	531
834	2673	528
835	2677	525
836	2680	522
837	2684	518
838	2687	515
839	2690	512
840	2694	509
841	2697	506
842	2701	503
843	2704	499
844	2708	496
845	2711	493
846	2714	490
847	2717	487
848	2720	483
849	2724	480
850	2727	477
851	2730	474
852	2733	471
853	2737	467
854	2740	464
855	2743	461
856	2746	458
857	2750	455
858	2753	451
859	2756	448
860	2759	445
861	2762	442
862	2765	439
863	2769	435
864	2772	432
865	2775	429
866	2779	426
867	2782	423
868	2785	419
869	2788	416
870	2791	413
871	2794	410
872	2798	407
873	2801	403
874	2804	400
875	2807	397
876	2810	394
877	2813	391
878	2817	387
879	2820	384
880	2823	381
881	2826	378
882	2829	374
883	2833	371
884	2836	368
885	2839	365
886	2842	362
887	2845	358
888	2848	355
889	2851	352
890	2854	349
891	2858	346
892	2861	342
893	2864	339
894	2867	336
895	2870	333
896	2873	329
897	2876	326
898	2879	323
899	2882	320
900	2885	317
901	2889	313
902	2892	310
903	2895	307
904	2898	304
905	2901	301
906	2904	297
907	2908	294
908	2911	291
909	2914	288
910	2917	285
911	2920	281
912	2923	278
913	2926	275
914	2929	272
915	2932	268
916	2935	265
917	2938	262
918	2941	259
919	2944	256
920	2947	252
921	2950	249
922	2953	246
923	2956	243
924	2959	239
925	2962	236
926	2965	233
927	2968	230
928	2971	227
929	2974	223
930	2977	220
931	2980	217
932	2983	214
933	2987	211
934	2990	207
935	2993	204
936	2996	201
937	2999	198
938	3002	195
939	3005	191
940	3008	188
941	3011	185
942	3015	182
943	3018	179
944	3021	175
945	3024	172
946	3027	169
947	3030	166
948	3034	163
949	3037	159
950	3040	156
951	3043	153
952	3046	150
953	3050	147
954	3053	143
955	3056	140
956	3059	137
957	3062	134
958	3065	131
959	3068	127
960	3071	124
961	3074	121
962	3077	118
963	3080	115
964	3083	111
965	3086	108
966	3089	105
967	3092	102
968	3095	99
969	3098	95
970	3101	92
971	3104	89
972	3108	86
973	3111	83
974	3114	79
975	3117	76
976	3120	73
977	3123	70
978	3126	67
979	3129	63
980	3132	60
981	3135	57
982	3138	54
983	3141	51
984	3144	47
985	3147	44
986	3150	41
987	3153	38
988	3157	35
989	3160	31
990	3163	28
991	3166	25
992	3169	22
993	3172	19
994	3176	15
995	3179	12
996	3182	9
997	3185	6
998	3189	3
999	3192	0
