iter	Logloss
0	0.6788987151
1	0.6660313205
2	0.6527368332
3	0.6423512709
4	0.6306780696
5	0.6195853097
6	0.6086207272
7	0.5986282098
8	0.589676871
9	0.5816817109
10	0.5748591478
11	0.5666762473
12	0.5593252032
13	0.5519066707
14	0.5451984012
15	0.5381453678
16	0.5321413387
17	0.5266260508
18	0.5220307467
19	0.5170293645
20	0.5122123257
21	0.5074725797
22	0.5031393599
23	0.4996255227
24	0.4950119003
25	0.4919740757
26	0.4877997929
27	0.4843274177
28	0.4811764005
29	0.4784382312
30	0.4755362633
31	0.4727942964
32	0.4699963079
33	0.4669674998
34	0.4643872842
35	0.4618853711
36	0.4594656365
37	0.4574109342
38	0.455544847
39	0.4533183687
40	0.4515350393
41	0.4498427379
42	0.4484866409
43	0.4469286951
44	0.445429835
45	0.4438732249
46	0.44238708
47	0.4411853809
48	0.4400842638
49	0.4386373575
50	0.4373202046
51	0.4359543588
52	0.4347842559
53	0.4335062357
54	0.4324231781
55	0.4313314246
56	0.4301767486
57	0.4291466223
58	0.4282994273
59	0.4272928557
60	0.4264018011
61	0.4255211793
62	0.4246488523
63	0.4236683148
64	0.4229008433
65	0.4220501754
66	0.4211799268
67	0.4205728481
68	0.4201382407
69	0.4193966699
70	0.4187609931
71	0.4181964038
72	0.417568066
73	0.4169399867
74	0.4162474619
75	0.4156285852
76	0.4149850222
77	0.4144461201
78	0.4137556573
79	0.4132212157
80	0.412652648
81	0.4120982418
82	0.4116213019
83	0.4111882367
84	0.4107625327
85	0.4103990795
86	0.4099077707
87	0.409550874
88	0.4091087982
89	0.4087189274
90	0.4082235596
91	0.4076907484
92	0.4072578346
93	0.4067747575
94	0.4063630091
95	0.4058816896
96	0.405492697
97	0.4050344844
98	0.4045362126
99	0.404080453
100	0.4037071359
101	0.4033183545
102	0.4029527415
103	0.402688836
104	0.4022793263
105	0.4019614159
106	0.4016846103
107	0.4014414916
108	0.4011468634
109	0.400880083
110	0.4005016097
111	0.4001279601
112	0.3997610676
113	0.399395147
114	0.3989469029
115	0.3985301416
116	0.3982523011
117	0.3979419622
118	0.3976269788
119	0.3973730071
120	0.3971370943
121	0.3968273288
122	0.3964243864
123	0.3960925521
124	0.395843523
125	0.395465607
126	0.3951573192
127	0.3948893954
128	0.394629908
129	0.3943582164
130	0.3941044428
131	0.3939119322
132	0.3935849665
133	0.3933356912
134	0.3930200005
135	0.3927683291
136	0.3925418227
137	0.3922526889
138	0.3919974693
139	0.3917809125
140	0.3914425977
141	0.3912155771
142	0.3910340557
143	0.3909855927
144	0.3907526289
145	0.3905813622
146	0.3903061372
147	0.3901329541
148	0.3899465171
149	0.3896934456
150	0.3894851656
151	0.3892467193
152	0.3890090845
153	0.3887410197
154	0.3885450243
155	0.3883426066
156	0.388089178
157	0.3879278762
158	0.3876950004
159	0.3875073425
160	0.3872992199
161	0.3870921915
162	0.3868159445
163	0.3866235375
164	0.3864390137
165	0.3862232059
166	0.3860910113
167	0.385984771
168	0.3858530328
169	0.3856014142
170	0.3854019938
171	0.3852167063
172	0.3850138656
173	0.3847425601
174	0.3844968099
175	0.3842668267
176	0.3840190915
177	0.3838181772
178	0.3835867883
179	0.3833529782
180	0.383122584
181	0.3828334917
182	0.3826029018
183	0.3824227726
184	0.3822425456
185	0.382049403
186	0.381791149
187	0.3815331568
188	0.3813785026
189	0.3811721552
190	0.3809717214
191	0.3807559264
192	0.3805531579
193	0.3803960252
194	0.3801328676
195	0.3799212688
196	0.3797561645
197	0.3796006206
198	0.3794254343
199	0.3791885652
200	0.3789744746
201	0.3788546489
202	0.3786037633
203	0.378462286
204	0.3783948806
205	0.3782583203
206	0.3781109038
207	0.3780244077
208	0.3778683714
209	0.3776409756
210	0.3773811584
211	0.3771526878
212	0.3769988755
213	0.3768356016
214	0.3766395372
215	0.3764818087
216	0.3762537872
217	0.3760605259
218	0.3758880531
219	0.3756835711
220	0.3755074734
221	0.3753098932
222	0.3751048716
223	0.3748987986
224	0.3747254741
225	0.3745144987
226	0.3743840248
227	0.3741727418
228	0.3739667686
229	0.3736934076
230	0.3734872306
231	0.3734071349
232	0.3732696328
233	0.373078498
234	0.3728937225
235	0.3727215668
236	0.3726070288
237	0.37242445
238	0.3722722965
239	0.372123733
240	0.3719171452
241	0.3716629595
242	0.371520062
243	0.3713065242
244	0.3712021525
245	0.3710930378
246	0.3709653296
247	0.3708158148
248	0.3706801381
249	0.3705290091
250	0.3702133377
251	0.3700847072
252	0.3699191316
253	0.3697432764
254	0.3696256215
255	0.3695103338
256	0.3692562829
257	0.3691226006
258	0.3690342052
259	0.3688575525
260	0.3688382744
261	0.3686864724
262	0.3684221107
263	0.3682440375
264	0.3680730255
265	0.3678149744
266	0.3676508969
267	0.36755158
268	0.3673628311
269	0.3671925962
270	0.3670566991
271	0.3669393031
272	0.3666786697
273	0.3664875822
274	0.3663451496
275	0.3661529967
276	0.366014803
277	0.3657648887
278	0.3656105038
279	0.3654505539
280	0.3653063081
281	0.3650964065
282	0.3648916082
283	0.3647633822
284	0.3646087661
285	0.364462778
286	0.364342247
287	0.3641315422
288	0.3640319863
289	0.3638323093
290	0.3636566467
291	0.3635733529
292	0.3634220786
293	0.3632711862
294	0.3631501837
295	0.3630210377
296	0.362900043
297	0.362707773
298	0.3625981825
299	0.3623539626
300	0.3621996911
301	0.362053538
302	0.3618731426
303	0.3616726646
304	0.3615724059
305	0.3613928261
306	0.3612392707
307	0.3610820044
308	0.360829326
309	0.3606810065
310	0.360571719
311	0.3603970328
312	0.3602792616
313	0.3601350722
314	0.3599401838
315	0.3598246291
316	0.3596619522
317	0.3594919476
318	0.3593953334
319	0.3592205791
320	0.3590207043
321	0.3588597358
322	0.3587078712
323	0.3585740418
324	0.3583852202
325	0.3582319151
326	0.3580864194
327	0.3579700284
328	0.3577876959
329	0.357600984
330	0.3573459442
331	0.3573305036
332	0.3571960174
333	0.3570506036
334	0.3568756251
335	0.3567596899
336	0.3565971446
337	0.3563933884
338	0.3562273098
339	0.3560782022
340	0.3559190586
341	0.3558211317
342	0.3556073693
343	0.3554232969
344	0.3552440642
345	0.3550153143
346	0.3548557598
347	0.3546989026
348	0.3545389955
349	0.354470914
350	0.354291437
351	0.354174768
352	0.3540592692
353	0.3538039056
354	0.3536287653
355	0.3534403252
356	0.3532616874
357	0.3531318369
358	0.3529658123
359	0.3528193385
360	0.3527078599
361	0.3525948391
362	0.3524219575
363	0.3522659921
364	0.3520873878
365	0.352015534
366	0.3518917132
367	0.3516541542
368	0.3515379118
369	0.3513973575
370	0.3512052229
371	0.3510398925
372	0.3508830211
373	0.3506651278
374	0.3505109137
375	0.3504137271
376	0.3502758672
377	0.35013208
378	0.350020242
379	0.349922542
380	0.3498079607
381	0.3496267315
382	0.3495080797
383	0.349467697
384	0.3493475189
385	0.3492104254
386	0.3490442652
387	0.3488712394
388	0.3487390014
389	0.3486149865
390	0.3483550717
391	0.3481209131
392	0.3479875694
393	0.3478114714
394	0.3476864779
395	0.3474637487
396	0.3472737441
397	0.3471215829
398	0.346988679
399	0.3467349865
400	0.3465807736
401	0.3464571253
402	0.3463882334
403	0.3463025485
404	0.3461219522
405	0.3459732175
406	0.3458754397
407	0.3457889926
408	0.3456495678
409	0.3454840166
410	0.3453508438
411	0.345180082
412	0.3450436464
413	0.3449207846
414	0.3448094353
415	0.3446716414
416	0.3445209877
417	0.3443787093
418	0.3442785151
419	0.3441011435
420	0.3439232814
421	0.3437740749
422	0.3436930261
423	0.3434972259
424	0.3433978157
425	0.3432831297
426	0.3431499476
427	0.3429438766
428	0.3428256534
429	0.3426899577
430	0.3425353093
431	0.3423714454
432	0.3422207783
433	0.3421265016
434	0.3419481392
435	0.3417774373
436	0.3416445456
437	0.3414744644
438	0.3413680773
439	0.3411685952
440	0.3409780837
441	0.3408451238
442	0.3407033118
443	0.3404943205
444	0.3403941463
445	0.3402703085
446	0.3400969155
447	0.339954959
448	0.339772759
449	0.3396693275
450	0.3395730702
451	0.3394248929
452	0.3392715496
453	0.3391734675
454	0.3389863221
455	0.3388318325
456	0.3387059938
457	0.3385588519
458	0.3384520391
459	0.3382997964
460	0.3381829501
461	0.3380328319
462	0.3378784351
463	0.3377135684
464	0.3375945139
465	0.3374742592
466	0.3373048534
467	0.3372380235
468	0.3371500302
469	0.3370525646
470	0.3369253816
471	0.3368187359
472	0.3367285003
473	0.3365275509
474	0.3363523801
475	0.3361615835
476	0.3360435426
477	0.3359291904
478	0.3357743514
479	0.3356279919
480	0.3354816527
481	0.3353631369
482	0.3352351498
483	0.3350193515
484	0.3348932072
485	0.3347405327
486	0.3346291481
487	0.3344761908
488	0.3343415457
489	0.3342298839
490	0.3340890829
491	0.333981562
492	0.3338297342
493	0.3337126389
494	0.3335541624
495	0.3334791217
496	0.3333954713
497	0.3332848776
498	0.3331550524
499	0.3330807678
500	0.3328790449
501	0.332741776
502	0.3326104527
503	0.3324678705
504	0.3323508728
505	0.3322376832
506	0.3321290912
507	0.3320362931
508	0.3319069173
509	0.3317631892
510	0.3316286032
511	0.3314513636
512	0.3313034558
513	0.33109381
514	0.3309474324
515	0.3308125102
516	0.3306894548
517	0.3305788351
518	0.3304383294
519	0.3303263538
520	0.3302358364
521	0.3301178728
522	0.3300280267
523	0.3298624043
524	0.3297701089
525	0.3296051152
526	0.3295034223
527	0.3293711313
528	0.329253937
529	0.3291422348
530	0.3290250817
531	0.3289383943
532	0.3288351254
533	0.3287676994
534	0.328648671
535	0.3285137523
536	0.3283893705
537	0.3282821411
538	0.3281307957
539	0.3279942315
540	0.327813045
541	0.3277121623
542	0.3275869118
543	0.3274517492
544	0.3272963069
545	0.3272021414
546	0.3270097426
547	0.3268791494
548	0.3266928347
549	0.3266069076
550	0.3264906498
551	0.3263672536
552	0.3262304314
553	0.3261461987
554	0.3260255408
555	0.3258490355
556	0.3257328124
557	0.3255857173
558	0.3254923288
559	0.3253167381
560	0.325182751
561	0.3250619904
562	0.3249735558
563	0.3248404515
564	0.3246992447
565	0.3246007668
566	0.3244676403
567	0.3243996217
568	0.3242555845
569	0.3241749223
570	0.3240178266
571	0.3238856659
572	0.3237986172
573	0.3236776239
574	0.3235327774
575	0.3234391512
576	0.3232986854
577	0.3231702301
578	0.3231050535
579	0.3229638437
580	0.3228363542
581	0.3227537992
582	0.322613701
583	0.3224302554
584	0.3222984856
585	0.3221806639
586	0.3220312939
587	0.3218731955
588	0.3217637497
589	0.3216129178
590	0.3214373754
591	0.3212880865
592	0.321109004
593	0.320920385
594	0.3207963205
595	0.3206338542
596	0.3205251431
597	0.320422535
598	0.3202905433
599	0.3201907575
600	0.3200864075
601	0.3199492737
602	0.3198114624
603	0.319705447
604	0.3196170832
605	0.3195106567
606	0.3194080399
607	0.3193275882
608	0.3192220957
609	0.3191151784
610	0.3190120198
611	0.3189267549
612	0.3188517646
613	0.3186573049
614	0.318520582
615	0.3184043075
616	0.3182815618
617	0.3180979943
618	0.3179633256
619	0.317856427
620	0.3176767079
621	0.3176434704
622	0.3175054479
623	0.3173464993
624	0.3172023018
625	0.3170831535
626	0.3169641998
627	0.3168838307
628	0.3167899311
629	0.3167160945
630	0.3166036925
631	0.3164642936
632	0.3163563833
633	0.3162353957
634	0.3161509867
635	0.3159946016
636	0.3158137675
637	0.3155836132
638	0.3154944796
639	0.3153798046
640	0.3152629424
641	0.315149097
642	0.3150240173
643	0.3149548568
644	0.3148451355
645	0.3147420191
646	0.3146363472
647	0.3145549935
648	0.3144783408
649	0.3143617822
650	0.3142535213
651	0.3141293456
652	0.3139985273
653	0.3138972839
654	0.3137926312
655	0.313622408
656	0.3135005638
657	0.3133755239
658	0.3132997733
659	0.3131522104
660	0.3130177134
661	0.3129731663
662	0.3128376359
663	0.3127074123
664	0.3126169393
665	0.3124837056
666	0.3123907635
667	0.3122482443
668	0.3120504
669	0.3119592751
670	0.3118567463
671	0.3117134133
672	0.3116214151
673	0.3114949747
674	0.3113641584
675	0.3112807966
676	0.3111362372
677	0.3110102176
678	0.310904792
679	0.3107517327
680	0.3106466687
681	0.3105249262
682	0.3103934349
683	0.3102730261
684	0.3101864892
685	0.310108799
686	0.3099906167
687	0.309877289
688	0.3097258745
689	0.3096401312
690	0.3094934904
691	0.3094193755
692	0.3093187878
693	0.309165208
694	0.3090899879
695	0.3089807477
696	0.308879068
697	0.3087571562
698	0.3086502327
699	0.3085123938
700	0.3083851139
701	0.3083071946
702	0.3081820944
703	0.3080969948
704	0.307964764
705	0.3078494533
706	0.3077414638
707	0.3076348326
708	0.3075674466
709	0.3074487565
710	0.3073591457
711	0.3072398304
712	0.307149758
713	0.3070528019
714	0.3069096257
715	0.3067482401
716	0.3066721229
717	0.3064598871
718	0.3063333831
719	0.3061870633
720	0.3060457884
721	0.305944235
722	0.305800936
723	0.305728143
724	0.3055738361
725	0.3054933702
726	0.3053659779
727	0.3052111399
728	0.3051369973
729	0.3050392181
730	0.3049509354
731	0.3048888253
732	0.3048048212
733	0.3047238268
734	0.3045973338
735	0.3044824169
736	0.304362626
737	0.3042467138
738	0.3041029222
739	0.304011979
740	0.3039150434
741	0.3038388851
742	0.3037120647
743	0.3035963901
744	0.3035334445
745	0.303430564
746	0.3033234452
747	0.3032360145
748	0.3031386527
749	0.3029566409
750	0.302895867
751	0.3027835499
752	0.3026321092
753	0.3024916715
754	0.3024048835
755	0.3023748437
756	0.3022221817
757	0.3021151971
758	0.3019280333
759	0.3018394009
760	0.3017161097
761	0.3015506957
